vs,n,triad,other,only_A,only_other,chi2,p,sig
closed-book,150,72.0%,47.3%,48,11,21.9661,0.000003,***
random,150,72.0%,26.0%,72,3,61.6533,0,***
oracle,150,72.0%,72.7%,13,14,0,1,ns
oracle-doc,150,72.0%,38.7%,58,8,36.3788,0,***
bm25-raw,150,72.0%,65.3%,14,4,4.5,0.033895,*
bm25-lemma,150,72.0%,69.3%,7,3,0.9,0.342782,ns
bm25-expanded,150,72.0%,64.0%,15,3,6.7222,0.009522,**
bm25-surrogate,150,72.0%,60.7%,19,2,12.1905,0.00048,***
dense,150,72.0%,62.0%,18,3,9.3333,0.00225,**
dense-rephrased,150,72.0%,64.7%,15,4,5.2632,0.021781,*
rrf,150,72.0%,67.3%,11,4,2.4,0.121335,ns
dense-surro-rrf,150,72.0%,66.0%,12,3,4.2667,0.038867,*
dense-surro-rescore,150,72.0%,59.3%,21,2,14.087,0.000175,***
dense-prf,150,72.0%,65.3%,16,6,3.6818,0.055009,ns
full,150,72.0%,60.7%,21,4,10.24,0.001374,**
full-hybrid,150,72.0%,68.7%,13,8,0.7619,0.382733,ns
no-covers,150,72.0%,55.3%,28,3,18.5806,0.000016,***
no-concepts,150,72.0%,58.7%,25,5,12.0333,0.000523,***
no-rerank,150,72.0%,59.3%,24,5,11.1724,0.00083,***
no-analysis,150,72.0%,58.7%,25,5,12.0333,0.000523,***
