vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
oracle-doc,150,68.7%,38.7%,-30.0pp,50,5,55,35.2,0,***,ok
random,150,68.7%,26.0%,-42.7pp,65,1,66,60.1364,0,***,ok
closed-book,150,68.7%,47.3%,-21.3pp,41,9,50,19.22,0.00001,***,ok
no-covers,150,68.7%,55.3%,-13.3pp,22,2,24,15.0417,0.00004,***,low
dense-surro-rescore,150,68.7%,59.3%,-9.3pp,16,2,18,9.3889,0.00131,**,low
no-analysis,150,68.7%,58.7%,-10.0pp,19,4,23,8.5217,0.0026,**,low
no-concepts,150,68.7%,58.7%,-10.0pp,19,4,23,8.5217,0.0026,**,low
no-rerank,150,68.7%,59.3%,-9.3pp,20,6,26,6.5,0.01079,*,ok
full,150,68.7%,60.7%,-8.0pp,16,4,20,6.05,0.01182,*,low
dense,150,68.7%,62.0%,-6.7pp,13,3,16,5.0625,0.02127,*,low
bm25-surrogate,150,68.7%,60.7%,-8.0pp,18,6,24,5.0417,0.02266,*,low
dense-prf,150,68.7%,65.3%,-3.3pp,7,2,9,1.7778,0.17969,ns,⚠ too few
bm25-expanded,150,68.7%,64.0%,-4.7pp,14,7,21,1.7143,0.18925,ns,low
oracle,150,68.7%,72.7%,4.0pp,6,12,18,1.3889,0.23789,ns,low
dense-rephrased,150,68.7%,64.7%,-4.0pp,13,7,20,1.25,0.26318,ns,low
triad,150,68.7%,72.0%,3.3pp,8,13,21,0.7619,0.38331,ns,low
bm25-raw,150,68.7%,65.3%,-3.3pp,14,9,23,0.6957,0.40487,ns,low
dense-surro-rrf,150,68.7%,66.0%,-2.7pp,9,5,14,0.6429,0.42395,ns,low
rrf,150,68.7%,67.3%,-1.3pp,11,9,20,0.05,0.8238,ns,low
bm25-lemma,150,68.7%,69.3%,0.7pp,11,12,23,0,1,ns,low
