vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
random,150,96.7%,74.7%,-22.0pp,37,4,41,24.9756,0,***,ok
oracle-doc,150,96.7%,80.7%,-16.0pp,28,4,32,16.5313,0.00005,***,ok
no-rerank,150,96.7%,90.0%,-6.7pp,11,1,12,6.75,0.00635,**,low
no-concepts,150,96.7%,90.7%,-6.0pp,10,1,11,5.8182,0.01172,*,low
no-covers,150,96.7%,91.3%,-5.3pp,9,1,10,4.9,0.02148,*,low
dense-surro-rescore,150,96.7%,92.0%,-4.7pp,9,2,11,3.2727,0.06543,ns,low
no-analysis,150,96.7%,92.0%,-4.7pp,10,3,13,2.7692,0.09229,ns,low
closed-book,150,96.7%,92.7%,-4.0pp,11,5,16,1.5625,0.21011,ns,low
dense,150,96.7%,94.0%,-2.7pp,5,1,6,1.5,0.21875,ns,⚠ too few
full,150,96.7%,94.0%,-2.7pp,5,1,6,1.5,0.21875,ns,⚠ too few
dense-rephrased,150,96.7%,94.7%,-2.0pp,3,0,3,1.3333,0.25,ns,⚠ too few
dense-surro-rrf,150,96.7%,98.7%,2.0pp,0,3,3,1.3333,0.25,ns,⚠ too few
bm25-surrogate,150,96.7%,94.0%,-2.7pp,6,2,8,1.125,0.28906,ns,⚠ too few
bm25-expanded,150,96.7%,94.0%,-2.7pp,7,3,10,0.9,0.34375,ns,low
oracle,150,96.7%,94.7%,-2.0pp,6,3,9,0.4444,0.50781,ns,⚠ too few
bm25-lemma,150,96.7%,97.3%,0.7pp,1,2,3,0,1,ns,⚠ too few
bm25-raw,150,96.7%,96.7%,0.0pp,2,2,4,0.25,1,ns,⚠ too few
dense-prf,150,96.7%,96.0%,-0.7pp,2,1,3,0,1,ns,⚠ too few
rrf,150,96.7%,97.3%,0.7pp,1,2,3,0,1,ns,⚠ too few
triad,150,96.7%,96.7%,0.0pp,2,2,4,0.25,1,ns,⚠ too few
