vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,131,85.5%,0.0%,-85.5pp,112,0,112,110.0089,0,***,ok
dense-surro-rescore,131,85.5%,66.4%,-19.1pp,26,1,27,21.3333,0,***,ok
no-rerank,131,85.5%,68.7%,-16.8pp,22,0,22,20.0455,0,***,low
oracle,131,85.5%,100.0%,14.5pp,0,19,19,17.0526,0,***,low
oracle-doc,131,85.5%,10.7%,-74.8pp,102,4,106,88.7642,0,***,ok
random,131,85.5%,0.0%,-85.5pp,112,0,112,110.0089,0,***,ok
bm25-expanded,131,85.5%,70.2%,-15.3pp,22,2,24,15.0417,0.00004,***,low
dense,131,85.5%,71.8%,-13.7pp,19,1,20,14.45,0.00004,***,low
no-covers,131,85.5%,73.3%,-12.2pp,17,1,18,12.5,0.00015,***,low
dense-prf,131,85.5%,74.8%,-10.7pp,15,1,16,10.5625,0.00052,***,low
dense-rephrased,131,85.5%,74.8%,-10.7pp,15,1,16,10.5625,0.00052,***,low
bm25-surrogate,131,85.5%,74.0%,-11.5pp,17,2,19,10.3158,0.00073,***,low
no-analysis,131,85.5%,75.6%,-9.9pp,15,2,17,8.4706,0.00235,**,low
no-concepts,131,85.5%,76.3%,-9.2pp,14,2,16,7.5625,0.00418,**,low
bm25-lemma,131,85.5%,77.9%,-7.6pp,12,2,14,5.7857,0.01294,*,low
bm25-raw,131,85.5%,77.9%,-7.6pp,12,2,14,5.7857,0.01294,*,low
full,131,85.5%,80.9%,-4.6pp,7,1,8,3.125,0.07031,ns,⚠ too few
rrf,131,85.5%,81.7%,-3.8pp,7,2,9,1.7778,0.17969,ns,⚠ too few
triad,131,85.5%,82.4%,-3.1pp,8,4,12,0.75,0.3877,ns,low
dense-surro-rrf,131,85.5%,83.2%,-2.3pp,6,3,9,0.4444,0.50781,ns,⚠ too few
