vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
closed-book,131,86.3%,0.0%,-86.3pp,113,0,113,111.0088,0,***,ok
dense,131,86.3%,71.8%,-14.5pp,19,0,19,17.0526,0,***,low
oracle-doc,131,86.3%,18.3%,-67.9pp,96,7,103,75.1845,0,***,ok
random,131,86.3%,0.0%,-86.3pp,113,0,113,111.0088,0,***,ok
oracle,131,86.3%,100.0%,13.7pp,0,18,18,16.0556,0.00001,***,low
dense-surro-rescore,131,86.3%,71.8%,-14.5pp,20,1,21,15.4286,0.00002,***,low
no-covers,131,86.3%,73.3%,-13.0pp,17,0,17,15.0588,0.00002,***,low
no-rerank,131,86.3%,76.3%,-9.9pp,13,0,13,11.0769,0.00024,***,low
bm25-expanded,131,86.3%,75.6%,-10.7pp,15,1,16,10.5625,0.00052,***,low
no-analysis,131,86.3%,75.6%,-10.7pp,15,1,16,10.5625,0.00052,***,low
no-concepts,131,86.3%,77.1%,-9.2pp,13,1,14,8.6429,0.00183,**,low
dense-rephrased,131,86.3%,77.9%,-8.4pp,13,2,15,6.6667,0.00739,**,low
dense-prf,131,86.3%,79.4%,-6.9pp,10,1,11,5.8182,0.01172,*,low
full,131,86.3%,80.9%,-5.3pp,7,0,7,5.1429,0.01563,*,⚠ too few
bm25-lemma,131,86.3%,80.2%,-6.1pp,9,1,10,4.9,0.02148,*,low
bm25-raw,131,86.3%,80.9%,-5.3pp,8,1,9,4,0.03906,*,⚠ too few
rrf,131,86.3%,82.4%,-3.8pp,6,1,7,2.2857,0.125,ns,⚠ too few
bm25-surrogate,131,86.3%,82.4%,-3.8pp,7,2,9,1.7778,0.17969,ns,⚠ too few
dense-surro-rrf,131,86.3%,84.7%,-1.5pp,4,2,6,0.1667,0.6875,ns,⚠ too few
triad,131,86.3%,87.0%,0.8pp,2,3,5,0,1,ns,⚠ too few
