vs,n,full-hybrid,other,delta,only_A,only_other,discordant,chi2,p,sig,power
bm25-expanded,131,76.3%,51.9%,-24.4pp,36,4,40,24.025,0,***,ok
bm25-surrogate,131,76.3%,48.9%,-27.5pp,40,4,44,27.8409,0,***,ok
closed-book,131,76.3%,0.0%,-76.3pp,100,0,100,98.01,0,***,ok
dense-prf,131,76.3%,47.3%,-29.0pp,41,3,44,31.1136,0,***,ok
dense-rephrased,131,76.3%,51.1%,-25.2pp,35,2,37,27.6757,0,***,ok
dense-surro-rescore,131,76.3%,41.2%,-35.1pp,47,1,48,42.1875,0,***,ok
no-rerank,131,76.3%,44.3%,-32.1pp,43,1,44,38.2045,0,***,ok
oracle,131,76.3%,100.0%,23.7pp,0,31,31,29.0323,0,***,ok
oracle-doc,131,76.3%,0.0%,-76.3pp,100,0,100,98.01,0,***,ok
random,131,76.3%,0.0%,-76.3pp,100,0,100,98.01,0,***,ok
triad,131,76.3%,53.4%,-22.9pp,34,4,38,22.1316,0,***,ok
dense,131,76.3%,55.0%,-21.4pp,32,4,36,20.25,0.00001,***,ok
dense-surro-rrf,131,76.3%,56.5%,-19.8pp,32,6,38,16.4474,0.00005,***,ok
no-covers,131,76.3%,64.9%,-11.5pp,16,1,17,11.5294,0.00028,***,low
bm25-lemma,131,76.3%,61.1%,-15.3pp,25,5,30,12.0333,0.00052,***,ok
bm25-raw,131,76.3%,61.8%,-14.5pp,24,5,29,11.1724,0.00083,***,ok
no-analysis,131,76.3%,67.2%,-9.2pp,16,4,20,6.05,0.01182,*,low
rrf,131,76.3%,65.6%,-10.7pp,21,7,28,6.0357,0.01402,*,ok
no-concepts,131,76.3%,68.7%,-7.6pp,13,3,16,5.0625,0.02127,*,low
full,131,76.3%,71.8%,-4.6pp,7,1,8,3.125,0.07031,ns,⚠ too few
