method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors,citation_gap_closed
oracle,150,133,133,0.94,0.8899090795570952,0.9681163179946722,0.8120300751879699,0.7372266616591409,0.8693140394142168,0.08270676691729323,0.9267,,0.8733,0.8867,0.8867,1,0.9236,1,0.9236,1,0.912,0.9875,0.9236,1,0.9236,1,0.9236,1,0.9236,1,0.3171,0.3434,0.9236,1,0.9236,1,0.9236,1,0.1903,0.206,0.9236,1,0.9236,1,0.9236,1,0.0951,0.103,0.9236,1,0.9236,1,0.9236,1,0.0476,0.0515,0.9236,1,0.9236,1,0.9236,1,0.019,0.0206,0.9236,1,0.9236,1,0.9236,1,0.0095,0.0103,0.9236,1,0.9236,1,0.9236,1,636,864,0,1,660,47,0.024,0,1
full-hybrid,150,133,133,0.96,0.9154854608728422,0.9815410911130965,0.7443609022556391,0.6640905808180467,0.8109111730345829,0.03759398496240601,0.96,,0.8867,0.8867,0.72,100,0.6738,0.7295,0.8057,0.8724,0.625,0.6767,0.6319,0.6842,0.6319,0.6842,0.7917,0.8571,0.6968,0.7544,0.2384,0.2581,0.7014,0.7594,0.8125,0.8797,0.7037,0.7619,0.1444,0.1564,0.7083,0.7669,0.8194,0.8872,0.7454,0.807,0.0764,0.0827,0.75,0.812,0.8333,0.9023,0.7593,0.8221,0.0389,0.0421,0.7639,0.8271,0.8333,0.9023,0.7801,0.8446,0.016,0.0173,0.7847,0.8496,0.8611,0.9323,0.8032,0.8697,0.0083,0.0089,0.8056,0.8722,0.8611,0.9323,0.6884,0.7453,8053,13990,7248,3,7326,299,0.228,0,0.7632
triad,150,133,133,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7819548872180451,0.7044032919370863,0.8436756548159478,0.015037593984962405,0.9733,1,0.9133,0.8867,0.7133,100,0.5577,0.6038,0.832,0.9009,0.4572,0.495,0.4653,0.5038,0.4653,0.5038,0.8125,0.8797,0.6065,0.6566,0.206,0.2231,0.6181,0.6692,0.8472,0.9173,0.6655,0.7206,0.1361,0.1474,0.6736,0.7293,0.8611,0.9323,0.7419,0.8033,0.0757,0.082,0.75,0.812,0.8611,0.9323,0.7801,0.8446,0.0399,0.0432,0.7847,0.8496,0.8611,0.9323,0.8009,0.8672,0.0164,0.0177,0.8056,0.8722,0.8681,0.9398,0.8241,0.8922,0.0085,0.0092,0.8264,0.8947,0.8681,0.9398,0.5955,0.6448,853,1090,102,1,4043,49,0.108,0,0.8947
rrf,150,133,133,0.96,0.9154854608728422,0.9815410911130965,0.7293233082706767,0.6481631113881594,0.7976077653043084,0.022556390977443608,0.98,,0.9067,0.8867,0.6933,100,0.6052,0.6553,0.8094,0.8763,0.5266,0.5702,0.5347,0.5789,0.5347,0.5789,0.7778,0.8421,0.6447,0.698,0.2176,0.2356,0.6528,0.7068,0.8403,0.9098,0.6586,0.713,0.1333,0.1444,0.6667,0.7218,0.8472,0.9173,0.7245,0.7845,0.0743,0.0805,0.7292,0.7895,0.8472,0.9173,0.7731,0.8371,0.0396,0.0429,0.7778,0.8421,0.8611,0.9323,0.7963,0.8622,0.0164,0.0177,0.7986,0.8647,0.8611,0.9323,0.8125,0.8797,0.0084,0.0091,0.8125,0.8797,0.8681,0.9398,0.6274,0.6793,838,1256,90,1,4205,50,0.113,0,0.7105
dense-surro-rrf,150,133,133,0.9666666666666667,0.9243471574929044,0.9856797793044249,0.7142857142857143,0.6323395003303361,0.7842004992019699,0.03007518796992481,0.9733,,0.84,0.8867,0.6733,100,0.5737,0.6212,0.777,0.8412,0.4896,0.5301,0.4931,0.5338,0.4931,0.5338,0.7222,0.782,0.61,0.6604,0.206,0.2231,0.6181,0.6692,0.8264,0.8947,0.6481,0.7018,0.1319,0.1429,0.6597,0.7143,0.8333,0.9023,0.6933,0.7506,0.0708,0.0767,0.7014,0.7594,0.8403,0.9098,0.7419,0.8033,0.0378,0.041,0.75,0.812,0.8542,0.9248,0.7824,0.8471,0.0161,0.0174,0.7847,0.8496,0.8611,0.9323,0.8032,0.8697,0.0083,0.0089,0.8056,0.8722,0.8611,0.9323,0.596,0.6453,753,980,42,1,3918,50,0.105,0,0.6579
dense-prf,150,133,133,0.9333333333333333,0.8816364734751868,0.9633885392651903,0.706766917293233,0.6244650873638766,0.7774594735883483,0.07518796992481203,0.9333,,0.8067,0.8867,0.64,100,0.5012,0.5427,0.7335,0.7941,0.412,0.4461,0.4167,0.4511,0.4167,0.4511,0.6944,0.7519,0.5475,0.5927,0.1852,0.2005,0.5556,0.6015,0.7569,0.8195,0.6134,0.6642,0.125,0.1353,0.6181,0.6692,0.7708,0.8346,0.6829,0.7393,0.0701,0.0759,0.6875,0.7444,0.8125,0.8797,0.7199,0.7794,0.0372,0.0402,0.7222,0.782,0.8403,0.9098,0.7477,0.8095,0.0154,0.0167,0.75,0.812,0.8472,0.9173,0.7824,0.8471,0.0081,0.0087,0.7847,0.8496,0.8472,0.9173,0.5397,0.5843,750,949,56,1,3919,49,0.105,0,0.6316
bm25-lemma,150,133,133,0.9733333333333334,0.9334450938998244,0.9895822277088953,0.7518796992481203,0.6720950018941981,0.8175221905385123,0.015037593984962405,0.9867,,0.8933,0.8867,0.66,100,0.6003,0.65,0.7628,0.8259,0.5405,0.5852,0.5486,0.594,0.5486,0.594,0.7292,0.7895,0.6238,0.6754,0.2106,0.2281,0.6319,0.6842,0.7986,0.8647,0.6412,0.6942,0.1306,0.1414,0.6528,0.7068,0.8056,0.8722,0.6829,0.7393,0.0701,0.0759,0.6875,0.7444,0.8125,0.8797,0.7037,0.7619,0.0361,0.0391,0.7083,0.7669,0.8264,0.8947,0.7616,0.8246,0.0157,0.017,0.7639,0.8271,0.8542,0.9248,0.7847,0.8496,0.0081,0.0088,0.7847,0.8496,0.8611,0.9323,0.6138,0.6646,752,986,41,1,4389,49,0.117,0,0.7895
full,150,133,133,0.92,0.8653774250568133,0.9536468180607831,0.6766917293233082,0.5932044024817998,0.7502584041501015,0.03007518796992481,0.9533,,0.7467,0.8867,0.6533,100,0.619,0.6702,0.7871,0.8522,0.5694,0.6165,0.5764,0.6241,0.5764,0.6241,0.7708,0.8346,0.6447,0.698,0.2199,0.2381,0.6528,0.7068,0.7986,0.8647,0.6586,0.713,0.1347,0.1459,0.6667,0.7218,0.7986,0.8647,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.8056,0.8722,0.6863,0.7431,0.0351,0.038,0.6944,0.7519,0.8125,0.8797,0.7211,0.7807,0.0147,0.0159,0.7292,0.7895,0.8264,0.8947,0.735,0.7957,0.0075,0.0081,0.7431,0.8045,0.8403,0.9098,0.6269,0.6787,8136,13985,7432,3,7472,301,0.232,0,0.5263
no-covers,150,133,133,0.9066666666666666,0.8494348221544131,0.9435886513404022,0.6165413533834586,0.5317359210143325,0.6948033769769215,0.06766917293233082,0.8933,,0.7333,0.8867,0.6533,100,0.6046,0.6546,0.7787,0.8428,0.5509,0.5965,0.5625,0.609,0.5625,0.609,0.7639,0.8271,0.6308,0.683,0.2153,0.2331,0.6389,0.6917,0.7917,0.8571,0.6447,0.698,0.1319,0.1429,0.6528,0.7068,0.7917,0.8571,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.7986,0.8647,0.6725,0.7281,0.0344,0.0372,0.6806,0.7368,0.8056,0.8722,0.6725,0.7281,0.0138,0.0149,0.6806,0.7368,0.8333,0.8947,0.7095,0.7682,0.0073,0.0079,0.7153,0.7744,0.8472,0.9098,0.6164,0.6674,5724,7944,5018,3,7476,300,0.232,0,0.3158
no-concepts,150,133,133,0.9133333333333333,0.8573705468757647,0.9486533114304411,0.6541353383458647,0.5699953429117186,0.72962114797994,0.05263157894736842,0.92,,0.7533,0.8867,0.6533,100,0.6488,0.7025,0.8083,0.8752,0.6134,0.6642,0.625,0.6767,0.625,0.6767,0.7917,0.8571,0.6516,0.7055,0.2222,0.2406,0.6597,0.7143,0.8194,0.8872,0.6655,0.7206,0.1361,0.1474,0.6736,0.7293,0.8264,0.8947,0.6725,0.7281,0.0687,0.0744,0.6806,0.7368,0.8264,0.8947,0.6794,0.7356,0.0347,0.0376,0.6875,0.7444,0.8333,0.9023,0.7072,0.7657,0.0144,0.0156,0.7153,0.7744,0.8542,0.9248,0.7627,0.8258,0.0078,0.0084,0.7708,0.8346,0.8611,0.9323,0.6486,0.7023,7342,12025,6595,3,7407,299,0.23,0,0.4474
