method,n,n_retrievable,accuracy,citation_accuracy,citation_gap_closed,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
oracle,150,133,0.94,0.8120300751879699,1,1,1,1,0.8867,0
full-hybrid,150,133,0.96,0.7443609022556391,0.7632,0.807,0.7295,0.7453,0.72,0
triad,150,133,0.9666666666666667,0.7819548872180451,0.8947,0.8033,0.6038,0.6448,0.7133,0
rrf,150,133,0.96,0.7293233082706767,0.7105,0.7845,0.6553,0.6793,0.6933,0
dense-surro-rrf,150,133,0.9666666666666667,0.7142857142857143,0.6579,0.7506,0.6212,0.6453,0.6733,0
dense-prf,150,133,0.9333333333333333,0.706766917293233,0.6316,0.7393,0.5427,0.5843,0.64,0
bm25-lemma,150,133,0.9733333333333334,0.7518796992481203,0.7895,0.7393,0.65,0.6646,0.66,0
full,150,133,0.92,0.6766917293233082,0.5263,0.7281,0.6702,0.6787,0.6533,0
no-covers,150,133,0.9066666666666666,0.6165413533834586,0.3158,0.7281,0.6546,0.6674,0.6533,0
no-concepts,150,133,0.9133333333333333,0.6541353383458647,0.4474,0.7281,0.7025,0.7023,0.6533,0
bm25-raw,150,133,0.9533333333333334,0.706766917293233,0.6316,0.7206,0.6673,0.672,0.64,0
dense-rephrased,150,133,0.9466666666666667,0.6917293233082706,0.5789,0.7193,0.5653,0.5982,0.64,0
no-analysis,150,133,0.9266666666666666,0.6616541353383458,0.4737,0.718,0.6628,0.6735,0.64,0
dense,150,133,0.9066666666666666,0.6691729323308271,0.5,0.7055,0.5697,0.5986,0.6267,0
bm25-expanded,150,133,0.9666666666666667,0.6992481203007519,0.6053,0.698,0.5681,0.5909,0.6133,0
bm25-surrogate,150,133,0.9266666666666666,0.6691729323308271,0.5,0.6792,0.5227,0.5549,0.6133,0
no-rerank,150,133,0.8866666666666667,0.6616541353383458,0.4737,0.6679,0.5291,0.5562,0.6,0
dense-surro-rescore,150,133,0.88,0.6466165413533834,0.4211,0.6604,0.4855,0.5192,0.5867,0
oracle-doc,150,133,0.76,0.43609022556390975,-0.3158,0.0401,0.0273,0.0206,0.0333,0
closed-book,150,133,0.9266666666666666,0.5263157894736842,0,0,0,0,0,0
random,150,133,0.72,0.2932330827067669,-0.8158,0,0.0001,0,0,0
