method,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q
oracle,632,881,0,1,660,47,0.024
full-hybrid,7596,13982,6917,3,7467,301,0.232
dense-surro-rrf,731,1129,42,1,3955,50,0.106
triad,795,1085,109,1,4030,49,0.108
rrf,809,1183,107,1,4283,49,0.114
full,7928,13872,7190,3,7568,302,0.234
bm25-raw,709,983,24,1,4481,50,0.12
bm25-lemma,723,1037,42,1,4500,50,0.12
no-concepts,6939,12209,6245,3,7550,300,0.234
no-analysis,9290,13191,8457,2,7259,89,0.195
dense-prf,714,961,51,1,3877,49,0.104
dense-rephrased,1800,2173,1120,2,4672,263,0.156
bm25-surrogate,671,980,10,1,3660,50,0.099
no-covers,5548,8172,4873,3,7598,302,0.235
dense,732,1101,44,1,3946,48,0.106
bm25-expanded,1817,2228,1129,2,4999,263,0.164
no-rerank,6851,13262,6128,2,4250,262,0.145
dense-surro-rescore,701,1089,37,1,3995,49,0.107
oracle-doc,665,819,3,1,3744,46,0.101
closed-book,657,870,0,1,292,45,0.014
random,670,966,0,1,4881,40,0.128
