method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
oracle,0.9885,1,1,1,1,1,1,1,1,1,1
full-hybrid,0.7557,0.8473,0.855,0.855,0.8664,0.8779,0.8626,0.8931,0.7983,0.808,100
dense-surro-rrf,0.5573,0.7863,0.8244,0.8397,0.8664,0.874,0.8321,0.8855,0.6651,0.7006,100
triad,0.5267,0.7481,0.8244,0.8626,0.874,0.8817,0.8321,0.9084,0.6327,0.6732,100
rrf,0.6527,0.7901,0.813,0.8244,0.8473,0.855,0.8168,0.8931,0.7176,0.738,100
full,0.7099,0.7939,0.8015,0.8015,0.813,0.8511,0.8092,0.8855,0.757,0.7643,100
bm25-raw,0.6107,0.7595,0.7901,0.8053,0.8282,0.8397,0.7939,0.8779,0.6877,0.7083,100
bm25-lemma,0.6031,0.7557,0.7824,0.7977,0.8053,0.8244,0.7863,0.8702,0.6827,0.7031,100
no-concepts,0.6756,0.7519,0.7595,0.7672,0.7748,0.8282,0.7634,0.8779,0.7168,0.724,100
no-analysis,0.6641,0.7443,0.7519,0.7519,0.7748,0.8053,0.7557,0.8931,0.7062,0.7146,100
dense-prf,0.4695,0.7023,0.7443,0.7901,0.8053,0.8359,0.7481,0.8473,0.5717,0.6085,100
dense-rephrased,0.5115,0.7061,0.7405,0.7748,0.7901,0.7901,0.7481,0.8397,0.596,0.6292,34
bm25-surrogate,0.4847,0.687,0.7328,0.8168,0.8321,0.855,0.7405,0.8855,0.5845,0.6133,100
no-covers,0.6412,0.7252,0.7252,0.7252,0.7634,0.8092,0.7328,0.8779,0.6856,0.691,100
dense,0.5458,0.6908,0.7137,0.7176,0.7481,0.7481,0.7176,0.8092,0.6107,0.6337,33
bm25-expanded,0.5153,0.6603,0.7023,0.7519,0.8168,0.8244,0.7023,0.8779,0.5922,0.6134,100
no-rerank,0.4389,0.5992,0.6908,0.7557,0.813,0.8511,0.6947,0.8855,0.5194,0.5529,100
dense-surro-rescore,0.4122,0.5992,0.6679,0.7137,0.7481,0.7481,0.6718,0.8092,0.4947,0.5328,33
oracle-doc,0,0.0458,0.1145,0.1832,0.3053,0.416,0.1145,1,0.0338,0.0445,100
closed-book,0,0,0,0,0,0,0,0,0,0,0
random,0,0,0,0,0,0,0,0.0763,0,0,100
