method,n,n_retrievable,n_citation_scored,accuracy,accuracy_ci_low,accuracy_ci_high,citation_accuracy,citation_ci_low,citation_ci_high,citation_unparsed_rate,citations_per_answer,act_scope_hit_rate,grounded_rate,gold_in_corpus_rate,gold_in_context_rate,median_depth_returned,mrr,mrr*,mrr_doc,mrr_doc*,recall@1,recall@1*,precision@1,precision@1*,hit@1,hit@1*,doc_hit@1,doc_hit@1*,recall@3,recall@3*,precision@3,precision@3*,hit@3,hit@3*,doc_hit@3,doc_hit@3*,recall@5,recall@5*,precision@5,precision@5*,hit@5,hit@5*,doc_hit@5,doc_hit@5*,recall@10,recall@10*,precision@10,precision@10*,hit@10,hit@10*,doc_hit@10,doc_hit@10*,recall@20,recall@20*,precision@20,precision@20*,hit@20,hit@20*,doc_hit@20,doc_hit@20*,recall@50,recall@50*,precision@50,precision@50*,hit@50,hit@50*,doc_hit@50,doc_hit@50*,recall@100,recall@100*,precision@100,precision@100*,hit@100,hit@100*,doc_hit@100,doc_hit@100*,ndcg@10,ndcg@10*,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q,errors,citation_gap_closed
oracle,300,264,264,0.9433333333333334,0.9111333346485289,0.9643228240868122,0.7916666666666666,0.7386666806440013,0.8363000160901878,0.0946969696969697,0.9167,,0.8733,0.88,0.88,1,0.9199,1,0.9199,1,0.9088,0.988,0.9199,1,0.9199,1,0.9199,1,0.9199,1,0.3148,0.3422,0.9199,1,0.9199,1,0.9199,1,0.1889,0.2053,0.9199,1,0.9199,1,0.9199,1,0.0944,0.1027,0.9199,1,0.9199,1,0.9199,1,0.0472,0.0513,0.9199,1,0.9199,1,0.9199,1,0.0189,0.0205,0.9199,1,0.9199,1,0.9199,1,0.0094,0.0103,0.9199,1,0.9199,1,0.9199,1,634,881,0,1,660,47,0.024,0,1
full-hybrid,300,264,264,0.9633333333333334,0.9355455130036123,0.9794049085318194,0.7462121212121212,0.6904437382199687,0.794917759023178,0.030303030303030304,0.96,,0.9033,0.88,0.7333,100,0.7024,0.7636,0.8132,0.8829,0.6585,0.7159,0.6655,0.7235,0.6655,0.7235,0.8049,0.875,0.7172,0.7797,0.2439,0.2652,0.7247,0.7879,0.8153,0.8864,0.7398,0.8043,0.1512,0.1644,0.7456,0.8106,0.8223,0.8902,0.7642,0.8308,0.078,0.0848,0.77,0.8371,0.8328,0.8977,0.7712,0.8384,0.0394,0.0428,0.777,0.8447,0.8328,0.8977,0.7869,0.8554,0.0161,0.0175,0.7909,0.8598,0.8571,0.9205,0.8037,0.8737,0.0083,0.009,0.8049,0.875,0.8571,0.9205,0.7142,0.7764,7784,13990,7069,3,7396,300,0.23,0,0.8286
triad,300,264,264,0.9666666666666667,0.9397375485424309,0.9817952501263492,0.7727272727272727,0.7184749355456964,0.8191562614005583,0.015151515151515152,0.9667,1,0.9167,0.88,0.7167,100,0.5686,0.6181,0.8299,0.8983,0.4698,0.5107,0.4774,0.5189,0.4774,0.5189,0.8153,0.8826,0.6074,0.6604,0.2056,0.2235,0.6167,0.6705,0.8432,0.9129,0.6754,0.7342,0.138,0.15,0.6829,0.7424,0.8502,0.9205,0.7485,0.8138,0.0763,0.083,0.7561,0.822,0.8502,0.9205,0.7851,0.8535,0.0401,0.0436,0.7909,0.8598,0.8502,0.9205,0.8008,0.8706,0.0164,0.0178,0.8049,0.875,0.8537,0.9242,0.8159,0.887,0.0084,0.0091,0.8188,0.8902,0.8641,0.928,0.6061,0.6589,820,1090,102,1,4037,49,0.108,0,0.9286
rrf,300,264,264,0.9666666666666667,0.9397375485424309,0.9817952501263492,0.7424242424242424,0.6864603285846934,0.7914340687008664,0.022727272727272728,0.9733,,0.9133,0.88,0.7033,100,0.6312,0.6862,0.7963,0.8617,0.5621,0.6111,0.5679,0.6174,0.5679,0.6174,0.7666,0.8295,0.6684,0.7266,0.2253,0.2449,0.676,0.7348,0.8258,0.8939,0.6911,0.7513,0.1401,0.1523,0.6969,0.7576,0.8328,0.9015,0.7346,0.7986,0.0749,0.0814,0.7387,0.803,0.8362,0.9053,0.7642,0.8308,0.039,0.0424,0.7666,0.8333,0.8432,0.9129,0.7863,0.8548,0.0161,0.0175,0.7875,0.8561,0.8606,0.9242,0.7979,0.8674,0.0082,0.0089,0.7979,0.8674,0.8641,0.928,0.6516,0.7084,830,1188,96,1,4244,50,0.114,0,0.8143
dense-surro-rrf,300,264,264,0.9766666666666667,0.9526274456671211,0.9886524844017044,0.7348484848484849,0.6785085304797436,0.7844516668906425,0.026515151515151516,0.97,,0.8667,0.88,0.7,100,0.5914,0.643,0.7713,0.8343,0.5,0.5436,0.5052,0.5492,0.5052,0.5492,0.7213,0.7803,0.6527,0.7096,0.2207,0.2399,0.6585,0.7159,0.8188,0.8864,0.6841,0.7437,0.1394,0.1515,0.6934,0.7538,0.8258,0.8939,0.7242,0.7872,0.0739,0.0803,0.7317,0.7955,0.8293,0.8977,0.7555,0.8213,0.0385,0.0419,0.7631,0.8295,0.8432,0.9091,0.788,0.8567,0.0162,0.0176,0.7909,0.8598,0.8537,0.9167,0.802,0.8718,0.0082,0.0089,0.8049,0.875,0.8571,0.9205,0.6188,0.6727,740,1041,42,1,3936,50,0.106,0,0.7857
full,300,264,264,0.93,0.8953632441625535,0.9537634060393939,0.6931818181818182,0.6351108109633973,0.7457112868735333,0.041666666666666664,0.9333,,0.77,0.88,0.68,100,0.6561,0.7133,0.7966,0.8651,0.6098,0.6629,0.6167,0.6705,0.6167,0.6705,0.784,0.8523,0.6823,0.7418,0.2323,0.2525,0.6899,0.75,0.8049,0.875,0.6928,0.7532,0.1415,0.1538,0.7003,0.7614,0.8084,0.875,0.7033,0.7645,0.0718,0.078,0.7108,0.7727,0.8118,0.8788,0.7102,0.7721,0.0362,0.0394,0.7178,0.7803,0.8153,0.8826,0.7329,0.7967,0.015,0.0163,0.7387,0.803,0.8293,0.8939,0.7573,0.8232,0.0077,0.0084,0.7631,0.8295,0.8362,0.9015,0.6634,0.7212,7997,13910,7271,3,7520,301,0.233,0,0.6286
bm25-lemma,300,264,264,0.9733333333333334,0.9482704597024538,0.9864270932330232,0.7424242424242424,0.6864603285846934,0.7914340687008664,0.01893939393939394,0.98,,0.8867,0.88,0.67,100,0.6128,0.6662,0.7503,0.8115,0.5465,0.5941,0.554,0.6023,0.554,0.6023,0.7038,0.7614,0.6475,0.7039,0.2184,0.2374,0.6551,0.7121,0.7979,0.8636,0.6667,0.7247,0.1352,0.147,0.676,0.7348,0.8014,0.8674,0.6998,0.7607,0.0714,0.0777,0.7038,0.7652,0.8084,0.875,0.7172,0.7797,0.0366,0.0398,0.7213,0.7841,0.8223,0.8864,0.7497,0.815,0.0153,0.0167,0.7526,0.8182,0.8502,0.9129,0.77,0.8371,0.0079,0.0086,0.77,0.8371,0.8606,0.9242,0.6289,0.6837,740,996,41,1,4444,50,0.119,0,0.8143
bm25-raw,300,264,264,0.96,0.9313951365400219,0.9769729078620613,0.7234848484848485,0.666617379158089,0.7739415183395364,0.03409090909090909,0.9667,,0.8833,0.88,0.66,100,0.6231,0.6774,0.7712,0.8344,0.5604,0.6092,0.5679,0.6174,0.5679,0.6174,0.7317,0.7917,0.6545,0.7115,0.2207,0.2399,0.662,0.7197,0.8014,0.8674,0.6736,0.7323,0.1366,0.1485,0.6794,0.7386,0.8084,0.875,0.6945,0.7551,0.0704,0.0765,0.7003,0.7614,0.8258,0.8939,0.7242,0.7872,0.0369,0.0402,0.7282,0.7917,0.8328,0.9015,0.759,0.8251,0.0155,0.0168,0.7631,0.8295,0.8571,0.9205,0.7735,0.8409,0.0079,0.0086,0.7735,0.8409,0.8606,0.9242,0.6347,0.69,726,1018,25,1,4406,49,0.118,0,0.7429
no-concepts,300,264,264,0.91,0.8722221947968226,0.9374101926050341,0.6704545454545454,0.6116630386846194,0.7243564594067897,0.06439393939393939,0.9033,,0.7467,0.88,0.66,100,0.6527,0.7096,0.8038,0.8732,0.6161,0.6698,0.6272,0.6818,0.6272,0.6818,0.7944,0.8636,0.6597,0.7172,0.2253,0.2449,0.6655,0.7235,0.8084,0.8788,0.6771,0.7361,0.1387,0.1508,0.6829,0.7424,0.8118,0.8826,0.6841,0.7437,0.07,0.0761,0.6899,0.75,0.8188,0.8864,0.6911,0.7513,0.0354,0.0384,0.6969,0.7576,0.8223,0.8902,0.7085,0.7702,0.0145,0.0158,0.7143,0.7765,0.8362,0.9015,0.7607,0.827,0.0078,0.0084,0.7666,0.8333,0.8467,0.9091,0.6559,0.7131,7064,12209,6330,3,7478,300,0.232,0,0.5429
dense-prf,300,264,264,0.9466666666666667,0.9151301612527314,0.966908374615958,0.7045454545454546,0.6468922148402418,0.7563311828694492,0.056818181818181816,0.9433,,0.83,0.88,0.6467,100,0.5124,0.5571,0.722,0.781,0.421,0.4577,0.4251,0.4621,0.4251,0.4621,0.6794,0.7348,0.5708,0.6206,0.1928,0.2096,0.5784,0.6288,0.7491,0.8106,0.6283,0.6831,0.1275,0.1386,0.6341,0.6894,0.7735,0.8371,0.6823,0.7418,0.0697,0.0758,0.6864,0.7462,0.7979,0.8636,0.7218,0.7847,0.0369,0.0402,0.7247,0.7879,0.8153,0.8826,0.7427,0.8074,0.0153,0.0166,0.7456,0.8106,0.8293,0.8939,0.7741,0.8415,0.0079,0.0086,0.777,0.8447,0.8328,0.8977,0.5485,0.5963,730,961,53,1,3898,49,0.105,0,0.6714
