method,latency_p50_ms,latency_p95_ms,retrieval_p50_ms,llm_calls_per_q,tokens_in_per_q,tokens_out_per_q,usd_per_100q
oracle,634,881,0,1,660,47,0.024
full-hybrid,7784,13990,7069,3,7396,300,0.23
triad,820,1090,102,1,4037,49,0.108
rrf,830,1188,96,1,4244,50,0.114
dense-surro-rrf,740,1041,42,1,3936,50,0.106
full,7997,13910,7271,3,7520,301,0.233
bm25-lemma,740,996,41,1,4444,50,0.119
bm25-raw,726,1018,25,1,4406,49,0.118
no-concepts,7064,12209,6330,3,7478,300,0.232
dense-prf,730,961,53,1,3898,49,0.105
no-analysis,9096,13284,8303,2,7232,89,0.194
dense-rephrased,1842,2196,1137,2,4664,261,0.156
no-covers,5674,8049,4942,3,7537,301,0.234
dense,733,1093,46,1,4018,49,0.108
bm25-surrogate,678,971,10,1,3610,50,0.098
bm25-expanded,1856,2231,1156,2,5036,262,0.165
no-rerank,7035,13283,6280,2,4242,261,0.145
dense-surro-rescore,714,1009,36,1,3960,49,0.106
oracle-doc,667,880,3,1,3747,46,0.101
closed-book,668,885,0,1,294,44,0.014
random,675,986,0,1,4882,40,0.128
