method,n,n_retrievable,accuracy,citation_accuracy,citation_gap_closed,recall@10*,mrr*,ndcg@10*,gold_in_context_rate,errors
oracle,300,264,0.9433333333333334,0.7916666666666666,1,1,1,1,0.88,0
full-hybrid,300,264,0.9633333333333334,0.7462121212121212,0.8286,0.8308,0.7636,0.7764,0.7333,0
triad,300,264,0.9666666666666667,0.7727272727272727,0.9286,0.8138,0.6181,0.6589,0.7167,0
rrf,300,264,0.9666666666666667,0.7424242424242424,0.8143,0.7986,0.6862,0.7084,0.7033,0
dense-surro-rrf,300,264,0.9766666666666667,0.7348484848484849,0.7857,0.7872,0.643,0.6727,0.7,0
full,300,264,0.93,0.6931818181818182,0.6286,0.7645,0.7133,0.7212,0.68,0
bm25-lemma,300,264,0.9733333333333334,0.7424242424242424,0.8143,0.7607,0.6662,0.6837,0.67,0
bm25-raw,300,264,0.96,0.7234848484848485,0.7429,0.7551,0.6774,0.69,0.66,0
no-concepts,300,264,0.91,0.6704545454545454,0.5429,0.7437,0.7096,0.7131,0.66,0
dense-prf,300,264,0.9466666666666667,0.7045454545454546,0.6714,0.7418,0.5571,0.5963,0.6467,0
no-analysis,300,264,0.9233333333333333,0.6704545454545454,0.5429,0.7348,0.6843,0.6939,0.65,0
dense-rephrased,300,264,0.9466666666666667,0.7083333333333334,0.6857,0.7298,0.5806,0.6136,0.6467,0
no-covers,300,264,0.91,0.6401515151515151,0.4286,0.7266,0.67,0.6791,0.6467,0
dense,300,264,0.9233333333333333,0.6742424242424242,0.5571,0.7096,0.5901,0.616,0.6267,0
bm25-surrogate,300,264,0.9333333333333333,0.6818181818181818,0.5857,0.7058,0.5534,0.5839,0.63,0
bm25-expanded,300,264,0.9533333333333334,0.6856060606060606,0.6,0.7001,0.58,0.6021,0.6133,0
no-rerank,300,264,0.8933333333333333,0.6401515151515151,0.4286,0.6793,0.5243,0.5546,0.6,0
dense-surro-rescore,300,264,0.9,0.6477272727272727,0.4571,0.6641,0.4901,0.5259,0.5833,0
oracle-doc,300,264,0.7833333333333333,0.42803030303030304,-0.3714,0.077,0.0305,0.0324,0.0633,0
closed-book,300,264,0.9266666666666666,0.5265151515151515,0,0,0,0,0,0
random,300,264,0.7333333333333333,0.2878787878787879,-0.9,0,0.0001,0,0,0
