method,recall@1*,recall@5*,recall@10*,recall@20*,recall@50*,recall@100*,hit@10*,doc_hit@10*,mrr*,ndcg@10*,median_depth_returned
oracle,0.988,1,1,1,1,1,1,1,1,1,1
full-hybrid,0.7159,0.8043,0.8308,0.8384,0.8554,0.8737,0.8371,0.8977,0.7636,0.7764,100
triad,0.5107,0.7342,0.8138,0.8535,0.8706,0.887,0.822,0.9205,0.6181,0.6589,100
rrf,0.6111,0.7513,0.7986,0.8308,0.8548,0.8674,0.803,0.9053,0.6862,0.7084,100
dense-surro-rrf,0.5436,0.7437,0.7872,0.8213,0.8567,0.8718,0.7955,0.8977,0.643,0.6727,100
full,0.6629,0.7532,0.7645,0.7721,0.7967,0.8232,0.7727,0.8788,0.7133,0.7212,100
bm25-lemma,0.5941,0.7247,0.7607,0.7797,0.815,0.8371,0.7652,0.875,0.6662,0.6837,100
bm25-raw,0.6092,0.7323,0.7551,0.7872,0.8251,0.8409,0.7614,0.8939,0.6774,0.69,100
no-concepts,0.6698,0.7361,0.7437,0.7513,0.7702,0.827,0.75,0.8864,0.7096,0.7131,100
dense-prf,0.4577,0.6831,0.7418,0.7847,0.8074,0.8415,0.7462,0.8636,0.5571,0.5963,100
no-analysis,0.6402,0.7235,0.7348,0.7386,0.7538,0.7942,0.7386,0.8939,0.6843,0.6939,100
dense-rephrased,0.4975,0.6888,0.7298,0.7601,0.7771,0.7771,0.7348,0.8523,0.5806,0.6136,34
no-covers,0.6187,0.7115,0.7266,0.7266,0.7456,0.7885,0.7348,0.8712,0.67,0.6791,100
dense,0.5183,0.6774,0.7096,0.7247,0.7449,0.7449,0.7159,0.8295,0.5901,0.616,33
bm25-surrogate,0.4545,0.661,0.7058,0.774,0.7986,0.834,0.7159,0.8977,0.5534,0.5839,100
bm25-expanded,0.4975,0.649,0.7001,0.7449,0.8093,0.8321,0.7045,0.8977,0.58,0.6021,100
no-rerank,0.4451,0.6073,0.6793,0.7418,0.7967,0.8232,0.6856,0.8788,0.5243,0.5546,100
dense-surro-rescore,0.4104,0.5789,0.6641,0.7229,0.7449,0.7449,0.6705,0.8182,0.4901,0.5259,33
oracle-doc,0.0013,0.0354,0.077,0.1301,0.2626,0.387,0.0795,1,0.0305,0.0324,100
closed-book,0,0,0,0,0,0,0,0,0,0,0
random,0,0,0,0,0,0.0038,0,0.0795,0.0001,0,100
